dataset,id,tool,predicted_label,ground_truth_label,flagged_span_text,latency_seconds
ragtruth,RT_715,LettuceDetect,faithful,faithful,,0.7064
ragtruth,RT_478,LettuceDetect,hallucinated,hallucinated, range;  for,0.1174
ragtruth,RT_567,LettuceDetect,hallucinated,hallucinated,"Passage 2, Passage 3; Passage 2).; 5. Detoxification: Cupping can help detoxify the body by removing impurities and toxins through the ",0.0974
ragtruth,RT_264,LettuceDetect,faithful,faithful,,0.1043
ragtruth,RT_335,LettuceDetect,hallucinated,hallucinated," it's important to note that not all;  experience these symptoms, and their severity can vary from one person to another.",0.101
ragtruth,RT_043,LettuceDetect,faithful,faithful,,0.0874
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,LettuceDetect,faithful,faithful,,0.0805
ragbench,RB_pubmedqa_pubmedqa_11119,LettuceDetect,faithful,hallucinated,,0.0774
ragbench,RB_pubmedqa_pubmedqa_35832,LettuceDetect,faithful,hallucinated,,0.0713
ragbench,RB_covidqa_00363,LettuceDetect,faithful,faithful,,0.0871
ragbench,RB_techqa_techqa_DEV_Q135,LettuceDetect,hallucinated,hallucinated,"1. Check the available flash memory space on the IBM DataPower Gateway to determine how much space i; 2. If possible, free up additional space on the flash memory by deleting unnecessary files or data t;  enough",0.1372
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,LettuceDetect,faithful,faithful,,0.0905
delucionqa,DQ_00001,LettuceDetect,hallucinated,faithful,one left and one right).,0.1585
delucionqa,DQ_00457,LettuceDetect,faithful,hallucinated,,0.1166
delucionqa,DQ_00105,LettuceDetect,faithful,hallucinated,,0.1085
delucionqa,DQ_00688,LettuceDetect,faithful,faithful,,0.1158
delucionqa,DQ_00811,LettuceDetect,hallucinated,hallucinated,"4. If your OBD II system is not ready, you should see an authorized dealer or repair facility to hav",0.1608
delucionqa,DQ_00354,LettuceDetect,faithful,faithful,,0.1075
mock,F08,LettuceDetect,faithful,faithful,,0.0809
mock,H07,LettuceDetect,faithful,hallucinated,,0.0843
mock,H03,LettuceDetect,faithful,hallucinated,,0.0811
mock,F06,LettuceDetect,faithful,faithful,,0.0869
mock,H08,LettuceDetect,hallucinated,hallucinated,"Yes, Site24x7 detects issue root causes and performs fully autonomous self-healing.",0.0965
mock,F03,LettuceDetect,faithful,faithful,,0.0862
ragtruth,RT_715,Lynx,faithful,faithful,,1.744
ragtruth,RT_478,Lynx,faithful,hallucinated,,5.5469
ragtruth,RT_567,Lynx,hallucinated,hallucinated,,4.9662
ragtruth,RT_264,Lynx,hallucinated,faithful,,5.5869
ragtruth,RT_335,Lynx,hallucinated,hallucinated,,4.0261
ragtruth,RT_043,Lynx,faithful,faithful,,5.3217
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,Lynx,hallucinated,faithful,,4.4811
ragbench,RB_pubmedqa_pubmedqa_11119,Lynx,hallucinated,hallucinated,,6.0137
ragbench,RB_pubmedqa_pubmedqa_35832,Lynx,faithful,hallucinated,,4.6107
ragbench,RB_covidqa_00363,Lynx,faithful,faithful,,4.4765
ragbench,RB_techqa_techqa_DEV_Q135,Lynx,hallucinated,hallucinated,,5.0889
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,Lynx,hallucinated,faithful,,5.1567
delucionqa,DQ_00001,Lynx,error,faithful,,5.0852
delucionqa,DQ_00457,Lynx,hallucinated,hallucinated,,4.944
delucionqa,DQ_00105,Lynx,hallucinated,hallucinated,,5.161
delucionqa,DQ_00688,Lynx,hallucinated,faithful,,5.5394
delucionqa,DQ_00811,Lynx,hallucinated,hallucinated,,4.2069
delucionqa,DQ_00354,Lynx,faithful,faithful,,4.7256
mock,F08,Lynx,faithful,faithful,,5.0485
mock,H07,Lynx,hallucinated,hallucinated,,4.9491
mock,H03,Lynx,hallucinated,hallucinated,,4.3572
mock,F06,Lynx,faithful,faithful,,5.0481
mock,H08,Lynx,hallucinated,hallucinated,,5.2048
mock,F03,Lynx,faithful,faithful,,4.9038
ragtruth,RT_715,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",17.1056
ragtruth,RT_478,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",21.5383
ragtruth,RT_567,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",45.7329
ragtruth,RT_264,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",30.9461
ragtruth,RT_335,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",29.8592
ragtruth,RT_043,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",25.6119
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",24.5873
ragbench,RB_pubmedqa_pubmedqa_11119,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",38.2876
ragbench,RB_pubmedqa_pubmedqa_35832,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",28.3276
ragbench,RB_covidqa_00363,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",19.7581
ragbench,RB_techqa_techqa_DEV_Q135,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",17.6315
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",21.3726
delucionqa,DQ_00001,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",35.3651
delucionqa,DQ_00457,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",22.3439
delucionqa,DQ_00105,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",29.1236
delucionqa,DQ_00688,DeepEval,faithful,faithful,"The score is 0.67 because the actual output claims that any illumination of the ABS warning light indicates a malfunction, contradicting the retrieval context which states the ABS light signals a problem only if it remains on or lights up while driving.",29.4504
delucionqa,DQ_00811,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",36.1953
delucionqa,DQ_00354,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",19.9246
mock,F08,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",15.4668
mock,H07,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",17.695
mock,H03,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",17.1953
mock,F06,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",16.4423
mock,H08,DeepEval,faithful,hallucinated,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",16.9533
mock,F03,DeepEval,faithful,faithful,"The score is 1.00 because there are no contradictions, indicating perfect faithfulness.",17.1821
ragtruth,RT_715,Phoenix,faithful,faithful,"raw_label=factual; raw_score=0.0; explanation=The response correctly reflects the context, which states that some states use winner‑take‑all while others use proportional allocation for Republican delegates, thus matching the fill‑in‑the‑blank answer.",1.1466
ragtruth,RT_478,Phoenix,faithful,hallucinated,"raw_label=factual; raw_score=0.0; explanation=The response correctly notes that the context does not provide a specific numeric normal BNP range and does not assert any unsupported values, so it does not contain hallucinated information.",1.1466
ragtruth,RT_567,Phoenix,hallucinated,hallucinated,"raw_label=hallucinated; raw_score=1.0; explanation=The response adds details not present in the context, such as specific mental health effects (reducing anxiety and depression), a separate ""detoxification"" benefit, and references to non-existent passages, which constitute hallucinated information.",1.1466
ragtruth,RT_264,Phoenix,hallucinated,faithful,"raw_label=hallucinated; raw_score=1.0; explanation=The response adds several instructions (e.g., laying a towel in the sink, washing one glass at a time, cradling the bowl) that are not mentioned in the provided context, so it includes information not derived from the context, making it hallucinated",1.1466
ragtruth,RT_335,Phoenix,hallucinated,hallucinated,"raw_label=hallucinated; raw_score=1.0; explanation=The response includes a claim that symptoms can start as early as six weeks, which is not present in the provided context; thus it contains information not based on the context, making it hallucinated.",1.1466
ragtruth,RT_043,Phoenix,faithful,faithful,"raw_label=factual; raw_score=0.0; explanation=The response directly follows the step-by-step instructions given in the context for removing plastic from a dryer, without adding any information not present in the context.",1.1466
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,Phoenix,hallucinated,faithful,"raw_label=hallucinated; raw_score=1.0; explanation=The context only provides information about Mick Jagger and does not mention Brett Scallions. The response adds details about Brett Scallions, which are not supported by the given context, making that part hallucinated.",1.1466
ragbench,RB_pubmedqa_pubmedqa_11119,Phoenix,hallucinated,hallucinated,"raw_label=hallucinated; raw_score=1.0; explanation=The response asserts that high harm avoidance is an essential feature of panic disorder, but the context only notes higher HA scores in many studies and cautions that this may be biased, without confirming it as an essential feature. The response al",1.1466
ragbench,RB_pubmedqa_pubmedqa_35832,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
ragbench,RB_covidqa_00363,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
ragbench,RB_techqa_techqa_DEV_Q135,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00001,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00457,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00105,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00688,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00811,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
delucionqa,DQ_00354,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
mock,F08,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
mock,H07,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
mock,H03,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
mock,F06,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
mock,H08,Phoenix,error,hallucinated,raw_label=; raw_score=; explanation=,1.1466
mock,F03,Phoenix,error,faithful,raw_label=; raw_score=; explanation=,1.1466
ragtruth,RT_715,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4688,2.4628
ragtruth,RT_478,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.3923,20.4589
ragtruth,RT_567,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4225,4.6852
ragtruth,RT_264,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4073,25.8812
ragtruth,RT_335,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4225,1.5692
ragtruth,RT_043,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4073,45.2998
ragbench,RB_hotpotqa_5ac4c16b5542997ea680cab4,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4073,18.738
ragbench,RB_pubmedqa_pubmedqa_11119,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4378,42.3898
ragbench,RB_pubmedqa_pubmedqa_35832,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4533,69.6776
ragbench,RB_covidqa_00363,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4378,46.9576
ragbench,RB_techqa_techqa_DEV_Q135,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4378,129.6196
ragbench,RB_hotpotqa_5abcefc45542993a06baf9b4,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4533,19.0482
delucionqa,DQ_00001,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4073,123.3729
delucionqa,DQ_00457,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.3775,96.1622
delucionqa,DQ_00105,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.3923,61.0302
delucionqa,DQ_00688,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.3923,57.976
delucionqa,DQ_00811,Bespoke-MiniCheck-7B,hallucinated,hallucinated,yes_prob=0.4073,122.9727
delucionqa,DQ_00354,Bespoke-MiniCheck-7B,hallucinated,faithful,yes_prob=0.4073,79.901
mock,F08,Bespoke-MiniCheck-7B,faithful,faithful,yes_prob=0.5467,0.6174
mock,H07,Bespoke-MiniCheck-7B,faithful,hallucinated,yes_prob=0.5775,0.6268
