query,is_hallucinated_gt,response,frac_unsupported_embedding,direct_judge_context_relevant,direct_flagged,lr_risk_probability,cascade_judge_fired,cascade_label,cascade_flagged
How can I see the highest latency for my AppSync services?,False,"To see the highest latency for your AppSync services, you can use the following API endpoint:

GET /app/api/reports/top_n/APPSYNC/latency

This retrieves a report showing the top AppSync services with the highest latency values.",0.0,true,False,0.0412,False,low,False
How can I see which Transit Gateway Attachments have the highest outbound traffic?,False,"To see which Transit Gateway Attachments have the highest outbound traffic, use the following API endpoint:

GET /app/api/reports/top_n/TGWATTACHMENT/tg_bytes_out

This will show the top Transit Gateway Attachments by outbound bytes to monitor outgoing traffic volumes.",0.0,true,False,0.3397,False,low,False
How can I see which GCP Cloud Functions have the highest execution counts?,False,"To see which GCP Cloud Functions have the highest execution counts, you can use the following API endpoint:

GET /app/api/reports/top_n/CLOUDFUNCTIONS/execution_count

This retrieves a report listing GCP Cloud Functions ranked by their execution counts.",0.0,true,False,0.0745,False,low,False
fetch child Linux service details for Azure Virtual Machine reports,False,"To fetch child Linux service details for Azure Virtual Machine reports, use the following API endpoint:

GET /app/api/reports/child-details/AZURE-VM/LinuxServiceDetails/{id}

Replace {id} with the specific ID of the Azure Virtual Machine for which you want to retrieve the Linux service details.",0.0,true,False,0.0683,False,low,False
How can I view the performance report for my Azure Triggered WebJobs?,False,"To view the performance report for your Azure Triggered WebJobs, you can use the following API endpoint:

GET /app/api/reports/performance/type/AZURE-TRIGGEREDWEBJOB

This endpoint fetches the performance report detailing key metrics and performance data for Azure Triggered WebJobs.",0.0,true,False,0.0497,False,low,False
fetch Azure Virtual Machine disk details report by monitor id,False,"To fetch the Azure Virtual Machine disk details report by monitor ID, use the following API endpoint:

GET /app/api/reports/child-details/AZURE-VM/DiskDetails/{id}

Replace {id} with the specific Azure VM monitor ID to retrieve detailed disk usage and status reports.",0.0,true,False,0.0377,False,low,False
How do I verify Zoho Cliq chatlet integration settings in Site24x7,False,"To verify Zoho Cliq chatlet integration settings in Site24x7, you can use the following API endpoint:

GET /app/api/cliq_chatlet

This API checks the Zoho Cliq chatlet integration configuration status for your account. Calling this endpoint will let you know if the chatlet integration is enabled or not.",0.0,true,False,0.1337,False,low,False
How can I view the trending reports for Juniper MIST devices?,False,"To view the trending reports for Juniper MIST devices, you can use the following API endpoints depending on the specific device type:

- For general Juniper MIST devices trend reports:
  GET /app/api/reports/trend/type/JUNIPER-MIST

- For Juniper Mist WAN Edge devices trend reports:
  GET /app/api/reports/trend/type/JUNIPER-MIST-WAN-EDGE

- For Juniper Mist switches trend reports:
  GET /app/api/reports/trend/type/JUNIPER-MIST-SWITCH

- For Juniper Mist access points trend reports:
  GET /app/api/reports/trend/type/JUNIPER-MIST-AP

These endpoints fetch trending performance data over time to analyze behavior and status trends.",0.0,true,False,0.0643,False,low,False
How can I retrieve all custom reports in Site24x7 with their details,False,"To retrieve all custom reports in Site24x7 with their details, you can use the following endpoints depending on the level of detail you need:

1. For a list of Custom Reports with details like name, description, type, category, and creator/last-updated metadata for each report (typically the current user's working list), use:
   ```
   GET https://www.site24x7.com/app/api/short/reports/custom_reports
   ```

2. For a lightweight, account-wide list of all Custom Reports across all users, each tagged with the creating user's zuid, use:
   ```
   GET https://www.site24x7.com/app/api/short/reports/custom
   ```
   This gives a broader catalogue for the entire account.

3. To get the full saved configuration (name, description, and full config_data including columns, report_type, category, sort_by, grouping, time_period) of a specific Custom Report by its ID, use:
   ```
   GET https://www.site24x7.com/app/api/reports/custom_reports/{id}
   ```

So, to retrieve all custom reports with details, first fetch the list via `/short/reports/custom_reports` or `/short/reports/custom`, then for each report ID, fetch the full configuration via `/reports/custom_reports/{id}`.",0.2,true,False,0.5125,True,low,False
How can I view the availability summary for my application load balancers?,False,"To view the availability summary for your application load balancers, you can use the following API endpoint:

GET /app/api/reports/availability_summary/type/APPLICATIONLB

This fetches availability summary reports specifically for Application Load Balancers.",0.0,true,False,0.5739,True,low,False
get Hyper-V child VM replication report by ID,False,"To get the Hyper-V child VM replication report by ID, use the following API endpoint:

GET /app/api/reports/child-details/HYPERV/VMREPLICATIONDETAILS/{id}

Replace {id} with the specific Hyper-V virtual machine ID to retrieve its VM replication details.",0.0,true,False,0.2421,False,low,False
