id,pred,gt,score,lat
RT_715,faithful,faithful,1,4.753244877
RT_478,faithful,hallucinated,1,20.25651097
RT_567,faithful,hallucinated,1,20.16318822
RT_264,faithful,faithful,1,51.59977245
RT_335,faithful,hallucinated,1,49.03863907
RT_043,faithful,faithful,1,31.68213534
RB_hotpotqa_5ac4c16b5542997ea680cab4,hallucinated,faithful,0.428571429,41.43542337
RB_pubmedqa_pubmedqa_11119,faithful,hallucinated,1,33.75998163
RB_pubmedqa_pubmedqa_35832,faithful,hallucinated,1,25.44601583
RB_covidqa_00363,faithful,faithful,1,17.57776046
RB_techqa_techqa_DEV_Q135,hallucinated,hallucinated,0,28.08766723
RB_hotpotqa_5abcefc45542993a06baf9b4,hallucinated,faithful,0,8.768373251
DQ_00001,hallucinated,faithful,0.4375,95.39554572
DQ_00457,faithful,hallucinated,1,26.6282773
DQ_00105,faithful,hallucinated,1,56.24461842
DQ_00688,faithful,faithful,1,31.35187435
DQ_00811,faithful,hallucinated,0.5,40.09135318
DQ_00354,faithful,faithful,1,33.83099246
F08,faithful,faithful,1,8.679275751
H07,hallucinated,hallucinated,0,6.99844861
H03,hallucinated,hallucinated,0,6.293279409
F06,faithful,faithful,1,6.869869232
H08,hallucinated,hallucinated,0,9.806824207
F03,faithful,faithful,1,6.935753584
